道具ID,中文名,舊合成表,俄文名,英文名,品質,來源,可靠度,備註
I039,守護之矛,守护之矛,Копьё стража,Guardian's Spear,任務物品（1/2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I00Z,戰錘,战锤,Боевой молот,War Hammer,任務物品（1/2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I00I,無底瓶,无底瓶,Бездонная фляга,Bottomless Flask,任務物品（1/2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I026,詛咒之盾,诅咒之盾,Боевой щит,Battle Shield,任務物品（1/2）,A 沿用舊合成表,高 — 玩家實際用的名字,
I027,掠奪者之盾,,Щит разорителя,Ravager's Shield,任務物品（2/2）,C 我從俄文翻譯,低 — 沒有官方依據,
I00J,治療之瓶,,Сосуд исцеления,Vessel of Healing,任務物品（2/2）,C 我從俄文翻譯,低 — 沒有官方依據,
I010,灌鉛戰錘,,Освинцованный молот,Leaded Hammer,任務物品（2/2）,C 我從俄文翻譯,低 — 沒有官方依據,
I03C,符文長矛,,Рунное копьё,Runic Spear,任務物品（2/2）,C 我從俄文翻譯,低 — 沒有官方依據,
I02I,信使,,Курьер,Courier,信使,C 我從俄文翻譯,低 — 沒有官方依據,
bspd,冠軍之斧,,Топор чемпиона,Champion's Axe,傳說,C 我從俄文翻譯,低 — 沒有官方依據,
evtl,冠軍之盾,,Щит чемпиона,Champion's Shield,傳說,C 我從俄文翻譯,低 — 沒有官方依據,
brac,冠軍手套,骑士手套,Перчатки чемпиона,Champion's Gloves,傳說,B 我改了名字,中 — 有理由，但請確認,舊表兩件裝備共用「骑士手套」；俄文名已改為 Перчатки чемпиона
clsd,冠軍鎧甲,骑士手套,Доспех чемпиона,Champion's Armor,傳說,B 我改了名字,中 — 有理由，但請確認,舊表兩件裝備共用「骑士手套」，這件其實是鎧甲
bgst,大力神之戒,狩猎女神之戒,Кольцо Геракла,Ring of Heracles,傳說,B 我改了名字,中 — 有理由，但請確認,舊表兩件戒指共用「狩猎女神之戒」；Геракл 是大力神
odef,大法師之褲,,Штаны архимага,Archmage's Trousers,傳說,C 我從俄文翻譯,低 — 沒有官方依據,
rst1,大魔導師項鍊,大魔导师项链,Ожерелье магистра,Magister's Necklace,傳說,A 沿用舊合成表,高 — 玩家實際用的名字,
ssil,完美之靴,,Идеальные сапоги,Perfect Boots,傳說,C 我從俄文翻譯,低 — 沒有官方依據,
gcel,惡魔短刀,,Демонические ножи,Demonic Knives,傳說,C 我從俄文翻譯,低 — 沒有官方依據,
stel,狩獵女神之戒,狩猎女神之戒,Кольцо Артемиды,Ring of Artemis,傳說,A 沿用舊合成表,高 — 玩家實際用的名字,
lhst,規律女神之戒,规律女神之戒,Кольцо Фемиды,Ring of Themis,傳說,A 沿用舊合成表,高 — 玩家實際用的名字,
fgdg,拜亞基之爪,,Коготь бьякхи,Byakhee's Claw,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
pdiv,海之混沌,,Морской хаос,Sea Chaos,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
ram1,深淵之矛,,Копьё глубин,Spear of the Depths,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
sand,深淵菌菇,,Глубинный гриб,Deep Mushroom,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
pres,漩渦之盾,,Щит водоворота,Shield of the Maelstrom,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
pgma,災厄之錘,,Молот бедствий,Hammer of Calamity,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
sror,碎裂螯肢,,Сокрушающий хелицер,Crushing Chelicera,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
srrc,紫緋,,Порфира,Porphyra,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
sres,觀察者,,Наблюдатель,Observer,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
pghe,輝耀之石,,Сияющий камень,Radiant Stone,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
totw,遺跡石板,,Реликтовая скрижаль,Relic Tablet,儀式,C 我從俄文翻譯,低 — 沒有官方依據,
nflg,復仇之盾,,Щит возмездия,Shield of Retribution,完美,C 我從俄文翻譯,低 — 沒有官方依據,
pspd,科技之錘,,Техномолот,Technohammer,完美,C 我從俄文翻譯,低 — 沒有官方依據,
pams,返老還童藥劑,,Омолаживающая вытяжка,Rejuvenating Extract,完美,C 我從俄文翻譯,低 — 沒有官方依據,
stpg,隕星長矛,,Метеоритное копьё,Meteorite Spear,完美,C 我從俄文翻譯,低 — 沒有官方依據,
lmbr,紅寶石,,Рубин,Ruby,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
rma2,純淨紅寶石,,Очищенный рубин,Purified Ruby,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
sor5,純淨紫水晶,,Очищенный аметист,Purified Amethyst,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
sor2,純淨翡翠,,Очищенный изумруд,Purified Emerald,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
sor3,純淨藍寶石,,Очищенный сапфир,Purified Sapphire,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
sor4,純淨蛋白石,,Очищенный опал,Purified Opal,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
tpow,紫水晶,,Аметист,Amethyst,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
gomn,翡翠,,Изумруд,Emerald,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
gfor,藍寶石,,Сапфир,Sapphire,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
guvi,金蛋白石,,Золотой опал,Golden Opal,寶石,C 我從俄文翻譯,低 — 沒有官方依據,
esaz,不穩定卷軸,不稳定卷轴,Нестабильный свиток,Unstable Scroll,強化,A 沿用舊合成表,高 — 玩家實際用的名字,
blba,升級卷軸,升级卷轴,Свиток улучшения,Scroll of Upgrade,強化,A 沿用舊合成表,高 — 玩家實際用的名字,
rhe3,寶石轉化器,,Преобразователь самоцветов,Gem Transmuter,強化,C 我從俄文翻譯,低 — 沒有官方依據,
flag,強化卷軸,强化卷轴,Свиток усиления,Scroll of Empowerment,強化,A 沿用舊合成表,高 — 玩家實際用的名字,
plcl,扭曲卷軸,扭曲卷轴,Свиток искажения,Scroll of Distortion,強化,A 沿用舊合成表,高 — 玩家實際用的名字,
tbsm,折射卷軸,折射卷轴,Свиток преломления,Scroll of Refraction,強化,A 沿用舊合成表,高 — 玩家實際用的名字,
ofir,淬火卷軸,淬火卷轴,Свиток закаливания,Scroll of Tempering,強化,A 沿用舊合成表,高 — 玩家實際用的名字,
